timestamp,transformer_id,voltage_kV,current_A,load_percentage,oil_temperature_c,winding_temperature_c,ambient_temperature_c,vibration_mm_s,dissolved_hydrogen_ppm,dissolved_methane_ppm,dissolved_acetylene_ppm,power_factor,cooling_status,weather_condition,stress_index,anomaly_flag,temp_diff_winding_oil,temp_diff_oil_ambient,apparent_power_mva,active_power_mw,c2h2_to_h2_ratio,ch4_to_h2_ratio,hour,hour_sin,hour_cos,is_peak_hours,weather_Clear,weather_Heatwave,weather_Overcast,weather_Rainy
2026-06-01 00:00:00,TX-ALPHA-01,132.42,660.31,81.28,41.56,56.68,12.01,2.478,21.16,14.79,0.48,0.903,1,Clear,21.11,0,15.12,29.55,151.45,136.76,0.0227,0.699,0,0.0,1.0,0,1,0,0,0
2026-06-01 01:00:00,TX-ALPHA-01,134.2,579.15,72.68,40.61,54.18,19.25,2.53,24.03,10.24,0.25,0.922,1,Heatwave,16.41,0,13.57,21.36,134.62,124.12,0.0104,0.4261,1,0.2588,0.9659,0,0,1,0,0
2026-06-01 02:00:00,TX-ALPHA-01,132.44,613.96,77.54,39.71,53.73,11.28,2.595,46.01,11.59,1.07,0.889,1,Clear,19.63,0,14.02,28.43,140.84,125.21,0.0233,0.2519,2,0.5,0.866,0,1,0,0,0
2026-06-01 03:00:00,TX-ALPHA-01,133.11,548.01,68.29,34.83,45.22,10.75,2.285,36.47,13.29,0.46,0.917,1,Clear,12.38,0,10.39,24.08,126.35,115.86,0.0126,0.3644,3,0.7071,0.7071,0,1,0,0,0
2026-06-01 04:00:00,TX-ALPHA-01,133.34,525.96,64.8,36.08,45.49,14.04,2.586,10.99,12.47,0.51,0.914,1,Overcast,12.15,0,9.41,22.04,121.47,111.02,0.0464,1.1347,4,0.866,0.5,0,0,0,1,0
2026-06-01 05:00:00,TX-ALPHA-01,132.54,479.06,60.69,38.29,48.08,14.84,2.605,21.1,14.69,0.22,0.931,1,Clear,9.87,0,9.79,23.45,109.98,102.39,0.0104,0.6962,5,0.9659,0.2588,0,1,0,0,0
2026-06-01 06:00:00,TX-ALPHA-01,133.36,473.55,59.17,39.51,48.16,15.3,2.414,11.2,12.11,0.34,0.904,0,Rainy,7.83,0,8.65,24.21,109.38,98.88,0.0304,1.0812,6,1.0,0.0,0,0,0,0,1
2026-06-01 07:00:00,TX-ALPHA-01,131.21,469.05,57.99,47.89,56.33,20.51,2.178,13.88,14.68,1.56,0.923,0,Clear,5.73,0,8.44,27.38,106.6,98.39,0.1124,1.0576,7,0.9659,-0.2588,0,1,0,0,0
2026-06-01 08:00:00,TX-ALPHA-01,131.41,498.17,62.63,40.57,51.12,18.81,1.923,28.21,13.42,3.05,0.934,1,Clear,7.37,0,10.55,21.76,113.39,105.91,0.1081,0.4757,8,0.866,-0.5,0,1,0,0,0
2026-06-01 09:00:00,TX-ALPHA-01,132.09,563.78,67.39,46.87,58.46,22.29,2.179,73.66,11.33,1.09,0.914,1,Clear,11.22,0,11.59,24.58,128.99,117.9,0.0148,0.1538,9,0.7071,-0.7071,1,1,0,0,0
2026-06-01 10:00:00,TX-ALPHA-01,134.11,648.21,79.29,55.6,70.19,26.04,2.812,13.1,8.5,0.92,0.894,1,Clear,30.45,0,14.59,29.56,150.57,134.61,0.0702,0.6489,10,0.5,-0.866,1,1,0,0,0
